,Accuracy (%),Inference Speed (tokens/sec),Model Size (MB),Memory Usage (GB),Training Time (hours),F1 Score,TOPSIS Score,Rank
DistilBERT,91.2,680.0,260.0,1.2,4.2,0.912,0.953584837866403,1
ELECTRA-base,93.5,520.0,420.0,2.0,7.5,0.935,0.7998536281188163,2
ALBERT-base,92.8,480.0,230.0,1.8,6.8,0.928,0.7937096081309332,3
BERT-base,92.5,450.0,440.0,2.1,8.5,0.925,0.733227524892894,4
RoBERTa-base,93.8,420.0,500.0,2.3,9.1,0.938,0.6975506767198987,5
DeBERTa-base,94.5,380.0,580.0,2.5,10.5,0.945,0.6415881494291447,6
BERT-large,94.2,280.0,1300.0,4.8,15.2,0.942,0.3732576753302447,7
RoBERTa-large,95.1,260.0,1500.0,5.2,16.8,0.951,0.2999877410315789,8
DeBERTa-large,95.8,240.0,1400.0,5.5,18.2,0.958,0.27693868162919055,9
ALBERT-xxlarge,95.5,200.0,2200.0,7.5,22.5,0.955,0.04284433434696703,10
